"movie_name","boxtot","year","month","ThreeD","Summer"
"The Book of Eli",88.642961,2010,1,0,"Not Summer"
"The Book of Life (2014)",46.167903,2014,10,0,"Not Summer"
"The Book Thief",15.843589,2013,11,0,"Not Summer"
"The Boondock Saints II: All Saints Day",6.295574,2009,11,0,"Not Summer"
"The Boss",61.60347,2016,4,0,"Summer"
"The Bounty Hunter",61.171328,2010,3,0,"Not Summer"
"The Bourne Legacy",110.65235,2012,8,0,"Summer"
"The Bourne Ultimatum",222.415625,2007,8,0,"Summer"
"The Box",13.826576,2009,11,0,"Not Summer"
"The Boxtrolls",43.385423,2014,9,1,"Not Summer"
"The Boy (2016)",31.005942,2016,1,0,"Not Summer"
"The Boy in the Striped Pajamas",5.626244,2008,11,0,"Not Summer"
"The Boy Next Door",31.826485,2015,1,0,"Not Summer"
"The Brave One",35.310763,2007,9,0,"Not Summer"
"The Break-Up",115.207085,2006,6,0,"Summer"
"The Brothers Bloom",1.36013,2009,5,0,"Summer"
"The Brothers Grimsby",6.52798,2016,3,0,"Not Summer"
"The Bucket List",83.283728,2008,1,0,"Not Summer"
"The Cabin in the Woods",38.782447,2012,4,0,"Summer"
"The Call",46.622093,2013,3,0,"Not Summer"
"The Campaign",83.781065,2012,8,0,"Summer"
"The Change-Up",29.14534,2011,8,0,"Summer"
"The Choice",14.817478,2016,2,0,"Not Summer"
"The Chronicles of Narnia: Prince Caspian",136.627631,2008,5,0,"Summer"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",282.669443,2006,1,0,"Not Summer"
"The Chronicles of Narnia: The Voyage of the Dawn Treader",89.930793,2010,1,1,"Not Summer"
"The Collection",1.158063,2012,11,0,"Not Summer"
"The Comebacks",9.925268,2007,10,0,"Not Summer"
"The Condemned",6.769217,2007,4,0,"Summer"
"The Conjuring",123.95287,2013,7,0,"Summer"
"The Conjuring 2",99.582954,2016,6,0,"Summer"
"The Conspirator",1.09975,2011,4,0,"Summer"
"The Counselor",15.045037,2013,10,0,"Not Summer"
"The Covenant",20.938983,2006,9,0,"Not Summer"
"The Crazies",34.90794,2010,2,0,"Not Summer"
"The Croods",180.924038,2013,3,1,"Not Summer"
"The Curious Case of Benjamin Button",117.648097,2008,1,0,"Not Summer"
"The Da Vinci Code",211.239443,2006,5,0,"Summer"
"The Dark Knight",522.810263,2008,7,0,"Summer"
"The Dark Knight (2012 re-release)",1.513086,2012,7,0,"Summer"
"The Dark Knight Rises",438.870629,2012,7,0,"Summer"
"The Darkest Hour",18.690605,2011,1,1,"Not Summer"
"The Darkness",10.099194,2016,5,0,"Summer"
"The Day the Earth Stood Still (2008)",75.779609,2008,1,0,"Not Summer"
"The Debt",27.706463,2011,8,0,"Summer"
"The Departed",129.402536,2006,1,0,"Not Summer"
"The Descendants",72.08277,2011,1,0,"Not Summer"
"The Descent",19.88285,2006,8,0,"Summer"
"The Devil Inside",48.621107,2012,1,0,"Not Summer"
"The Devil Wears Prada",113.713128,2006,6,0,"Summer"
"The Dictator",56.568263,2012,5,0,"Summer"
"The Dilemma",45.8158,2011,1,0,"Not Summer"
"The Divergent Series: Allegiant",62.641161,2016,3,1,"Not Summer"
"The Divergent Series: Insurgent",121.81004,2015,3,1,"Not Summer"
"The Drop",10.02908,2014,9,0,"Not Summer"
"The Duchess",7.007311,2008,10,0,"Not Summer"
"The DUFF",28.35791,2015,2,0,"Not Summer"
"The Eagle",16.754647,2011,2,0,"Not Summer"
"The Edge of Seventeen",11.10849,2016,11,0,"Not Summer"
"The Equalizer",90.975276,2014,9,0,"Not Summer"
"The Ex",1.829944,2007,5,0,"Summer"
"The Expendables",99.647235,2010,8,0,"Summer"
