"movie_name","boxtot","year","month","ThreeD","Summer"
"The Wolverine",121.738956,2013,7,1,"Summer"
"The Woman in Black",47.729196,2012,2,0,"Not Summer"
"The Woman in Black 2: Angel of Death",23.187573,2015,1,0,"Not Summer"
"The Women (2008)",25.191281,2008,9,0,"Not Summer"
"The Words",10.244571,2012,9,0,"Not Summer"
"The World's End",24.507313,2013,8,0,"Summer"
"The X-Files: I Want to Believe",17.942219,2008,7,0,"Summer"
"The Young Messiah",5.725495,2016,3,0,"Not Summer"
"There Will Be Blood",36.025068,2008,1,0,"Not Summer"
"Think Like a Man",89.041769,2012,4,0,"Summer"
"Think Like a Man Too",60.166814,2014,6,0,"Summer"
"This Christmas",46.81385,2007,11,0,"Not Summer"
"This Is 40",62.544475,2012,1,0,"Not Summer"
"This is the End",99.641402,2013,6,0,"Summer"
"This is Where I Leave You",30.47088,2014,9,0,"Not Summer"
"This Means War",51.284737,2012,2,0,"Not Summer"
"Thor",174.966002,2011,5,1,"Summer"
"Thor: The Dark World",201.407296,2013,11,1,"Not Summer"
"Tim Burton's The Nightmare Before Christmas in 3-D (2006)",6.434514,2006,10,0,"Not Summer"
"Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D (2007 re-issue)",11.300534,2007,10,0,"Not Summer"
"Tinker, Tailor, Soldier, Spy",11.94254,2012,1,0,"Not Summer"
"Titanic 3D",54.367142,2012,4,1,"Summer"
"TMNT",48.559763,2007,3,0,"Not Summer"
"To Joey, with Love",1.709073,2016,9,0,"Not Summer"
"To Rome with Love",5.805024,2012,7,0,"Summer"
"Tomorrowland",89.113016,2015,5,0,"Summer"
"Tooth Fairy",54.555647,2010,1,0,"Not Summer"
"Top Five",13.58379,2014,12,0,"Not Summer"
"Top Gun 3D",2.78801,2013,2,0,"Not Summer"
"Total Recall (2012)",53.413337,2012,8,0,"Summer"
"Tower Heist",74.701505,2011,11,0,"Not Summer"
"Toy Story / Toy Story 2 (3D)",29.135003,2009,10,0,"Not Summer"
"Toy Story 3",398.602095,2010,6,1,"Summer"
"Trailer Park Boys: The Movie",1.589,2006,10,0,"Not Summer"
"Trainwreck",99.524485,2015,7,0,"Summer"
"Traitor",21.425948,2008,8,0,"Summer"
"Transcendence",20.19321,2014,4,1,"Summer"
"Transformers",302.869658,2007,7,0,"Summer"
"Transformers: Age of Extinction",238.965915,2014,6,1,"Summer"
"Transformers: Dark of the Moon",345.152286,2011,6,1,"Summer"
"Transformers: Revenge of the Fallen",390.700514,2009,6,0,"Summer"
"Transporter 3",30.387356,2008,11,0,"Not Summer"
"Triple 9",11.205033,2016,2,0,"Not Summer"
"Tristan and Isolde",7.612008,2006,1,0,"Not Summer"
"Trolls",148.040666,2016,11,1,"Not Summer"
"Tron Legacy",164.203087,2010,1,0,"Not Summer"
"Tropic Thunder",107.583715,2008,8,0,"Summer"
"Trouble with the Curve",31.218109,2012,9,0,"Not Summer"
"True Grit",167.7057,2010,1,0,"Not Summer"
"Turbo",72.769954,2013,7,1,"Summer"
"Turistas",4.54003,2006,12,0,"Not Summer"
"Twilight",192.769854,2008,1,0,"Not Summer"
"Twilight/New Moon Combo (one-night-only)",2.385237,2010,6,0,"Summer"
"Tyler Perry's A Madea Christmas",41.566509,2013,12,0,"Not Summer"
"Tyler Perry's Daddy's Little Girls",26.146262,2007,2,0,"Not Summer"
"Tyler Perry's Good Deeds",27.542449,2012,2,0,"Not Summer"
"Tyler Perry's I Can Do Bad All By Myself",47.708407,2009,9,0,"Not Summer"
"Tyler Perry's Madea's Big Happy Family",51.489275,2011,4,0,"Summer"
"Tyler Perry's Madea's Family Reunion",60.703553,2006,2,0,"Not Summer"
"Tyler Perry's Madea's Witness Protection",61.820114,2012,6,0,"Summer"
"Tyler Perry's Madea Goes to Jail",87.934351,2009,2,0,"Not Summer"
"Tyler Perry's Meet the Browns",38.542949,2008,3,0,"Not Summer"
"Tyler Perry's Temptation: Confessions of a Marriage Counselor",46.664165,2013,3,0,"Not Summer"
"Tyler Perry's The Family That Preys",33.601778,2008,9,0,"Not Summer"
"Tyler Perry's The Single Moms Club",12.163791,2014,3,0,"Not Summer"
"Tyler Perry's Why Did I Get Married Too?",55.542874,2010,4,0,"Summer"
"Tyler Perry's Why Did I Get Married?",51.685428,2007,10,0,"Not Summer"
"Tyler Perry Presents Peeples",8.476365,2013,5,0,"Summer"
"Ultraviolet",16.20404,2006,3,0,"Not Summer"
"Un Gallo con Muchos Huevos",8.276205,2015,9,1,"Not Summer"
"Unaccompanied Minors",10.813884,2006,12,0,"Not Summer"
"Unbroken",110.365165,2014,1,0,"Not Summer"
"Under the Same Moon",8.959462,2008,3,0,"Not Summer"
"Under the Sea 3D",9.106491,2009,6,0,"Summer"
"Underdog",34.393329,2007,8,0,"Summer"
"Underworld Awakening",60.243801,2012,1,0,"Not Summer"
"Underworld: Evolution",58.556226,2006,1,0,"Not Summer"
"Underworld: Rise of the Lycans",41.080697,2009,1,0,"Not Summer"
"Unfinished Business",9.21955,2015,3,0,"Not Summer"
"Unfriended",31.53732,2015,4,0,"Summer"
"United 93",30.038845,2006,4,0,"Summer"
"Unknown",59.815552,2011,2,0,"Not Summer"
"Unstoppable",77.386304,2010,11,0,"Not Summer"
"Untraceable",25.049161,2008,1,0,"Not Summer"
"Up",282.002924,2009,5,1,"Summer"
"Up in the Air",73.765769,2009,1,0,"Not Summer"
"V for Vendetta",66.952829,2006,3,0,"Not Summer"
"Vacancy",16.805625,2007,4,0,"Summer"
"Vacation",49.173256,2015,7,0,"Summer"
"Valentine's Day",107.443587,2010,2,0,"Not Summer"
"Valkyrie",73.720106,2008,1,0,"Not Summer"
"Vampire Academy",4.164395,2014,2,0,"Not Summer"
"Vampires Suck",28.683466,2010,8,0,"Summer"
"Vantage Point",66.94848,2008,2,0,"Not Summer"
"Veronica Mars",1.003751,2014,3,0,"Not Summer"
"Vicky Cristina Barcelona",16.755771,2008,8,0,"Summer"
"Victor Frankenstein",4.361904,2015,11,0,"Not Summer"
"W.",19.947809,2008,10,0,"Not Summer"
"Waist Deep",19.414,2006,6,0,"Summer"
"Waitress",12.813401,2007,5,0,"Summer"
"Walk Hard: The Dewey Cox Story",4.729202,2007,12,0,"Not Summer"
"Walk the Line",114.359196,2006,1,0,"Not Summer"
"Walking with Dinosaurs",27.603593,2013,1,1,"Not Summer"
"WALL-E",212.293611,2008,6,0,"Summer"
"Wall Street: Money Never Sleeps",50.328173,2010,9,0,"Not Summer"
"Wanderlust",13.86412,2012,2,0,"Not Summer"
"Wanted",130.080115,2008,6,0,"Summer"
"WAR",20.796197,2007,8,0,"Summer"
"War Dogs",40.650185,2016,8,0,"Summer"
"War Horse",69.134678,2011,1,0,"Not Summer"
"War Room",64.472612,2015,8,0,"Summer"
"Warcraft",44.00389,2016,6,1,"Summer"
"Warm Bodies",59.359674,2013,2,0,"Not Summer"
"Warrior",11.090291,2011,9,0,"Not Summer"
"Watchmen",104.272246,2009,3,0,"Not Summer"
"Water for Elephants",55.924807,2011,4,0,"Summer"
"We're the Millers",143.290013,2013,8,0,"Summer"
"We Are Marshall",36.330352,2006,1,0,"Not Summer"
"We Bought a Zoo",66.217528,2011,1,0,"Not Summer"
"We Own the Night",26.330408,2007,10,0,"Not Summer"
"Welcome Home Roscoe Jenkins",35.667115,2008,2,0,"Not Summer"
"What's Your Number?",11.805767,2011,9,0,"Not Summer"
"What Happens in Vegas",76.751534,2008,5,0,"Summer"
"What to Expect When You're Expecting",39.433651,2012,5,0,"Summer"
"When a Stranger Calls",43.805047,2006,2,0,"Not Summer"
"When in Rome",27.60707,2010,1,0,"Not Summer"
"When the Bough Breaks",27.313916,2016,9,0,"Not Summer"
"When the Game Stands Tall",24.892246,2014,8,0,"Summer"
"Where the Wild Things Are",71.022273,2009,10,0,"Not Summer"
"While We're Young",1.378,2015,4,0,"Summer"
"Whip It",9.853417,2009,10,0,"Not Summer"
"Whiskey Tango Foxtrot",20.426065,2016,3,0,"Not Summer"
"White House Down",66.052629,2013,6,0,"Summer"
"Whiteout",9.403554,2009,9,0,"Not Summer"
"Who's Your Caddy?",3.711337,2007,7,0,"Summer"
"Why Him?",30.633916,2016,12,0,"Not Summer"
"Wild (2014)",31.555453,2014,1,0,"Not Summer"
"Wild Hogs",163.605732,2007,3,0,"Not Summer"
"Winnie the Pooh",20.657865,2011,7,0,"Summer"
"Winter's Tale",11.880975,2014,2,0,"Not Summer"
"Woman in Gold",27.761718,2015,4,0,"Summer"
"Won't Back Down",3.274776,2012,9,0,"Not Summer"
"Woodlawn",8.970973,2015,10,0,"Not Summer"
"World Trade Center",68.048511,2006,8,0,"Summer"
"World War Z",189.859546,2013,6,1,"Summer"
"Wrath of the Titans",78.222536,2012,3,1,"Not Summer"
"Wreck-It Ralph",172.257456,2012,11,1,"Not Summer"
"X-Men Origins: Wolverine",175.216933,2009,5,0,"Summer"
"X-Men: Apocalypse",152.363567,2016,5,1,"Summer"
"X-Men: Days of Future Past",224.517107,2014,5,1,"Summer"
"X-Men: First Class",139.794178,2011,6,0,"Summer"
"X-Men: The Last Stand",225.707984,2006,5,0,"Summer"
"Year One",40.1919,2009,6,0,"Summer"
"Yes Man",90.954894,2008,1,0,"Not Summer"
"Yogi Bear",95.367329,2010,1,1,"Not Summer"
"You're Next",15.322491,2013,8,0,"Summer"
"You Again",21.766013,2010,9,0,"Not Summer"
"You Don't Mess with the Zohan",94.228929,2008,6,0,"Summer"
"You, Me and Dupree",68.90726,2006,7,0,"Summer"
"Young Adult",4.260589,2011,12,0,"Not Summer"
"Your Highness",18.057955,2011,4,0,"Summer"
"Youth in Revolt",9.139032,2010,1,0,"Not Summer"
"Zack and Miri Make a Porno",29.688791,2008,10,0,"Not Summer"
"Zero Dark Thirty",89.308991,2013,1,0,"Not Summer"
"Zodiac",30.470677,2007,3,0,"Not Summer"
"Zombieland",72.210422,2009,10,0,"Not Summer"
"Zookeeper",71.444764,2011,7,0,"Summer"
"Zoolander 2",25.110469,2016,2,0,"Not Summer"
"Zoom",6.607544,2006,8,0,"Summer"
"Zootopia",336.164834,2016,3,1,"Not Summer"
